3
999
999
4.310307e-02
10 01
T T
3.907952e-01 2.155153e-02 2.155153e-02 1.000000 0.497616 0.434690
1.863399e-01 2.155153e-02 2.155153e-02 1.000000 0.236353 0.406616
7.963788e-01 2.155153e-02 2.155153e-02 1.000000 0.138334 0.387312
3.401498e-01 2.155153e-02 2.155153e-02 1.000000 0.634768 0.098668
2.719792e-01 2.155153e-02 2.155153e-02 1.000000 0.300927 0.873579
5.684926e-02 2.155153e-02 2.155153e-02 1.000000 0.317367 0.318430
4.340289e-01 2.155153e-02 2.155153e-02 1.000000 0.854412 0.705629
9.121302e-01 2.155153e-02 2.155153e-02 1.000000 0.628485 0.907657
1.631146e-02 2.155153e-02 2.155153e-02 1.000000 0.474504 0.220969
7.788468e-01 2.155153e-02 2.155153e-02 1.000000 0.467081 0.040518
5.258215e-02 2.155153e-02 2.155153e-02 1.000000 0.272647 0.162650
5.986508e-01 2.155153e-02 2.155153e-02 1.000000 0.529662 0.650670
4.958351e-01 2.155153e-02 2.155153e-02 1.000000 0.938653 0.451185
1.567764e-01 2.155153e-02 2.155153e-02 1.000000 0.254692 0.818723
8.430942e-01 2.155153e-02 2.155153e-02 1.000000 0.833668 0.742135
9.554488e-01 2.155153e-02 2.155153e-02 1.000000 0.550206 0.435420
1.089064e-01 2.155153e-02 2.155153e-02 1.000000 0.758350 0.138236
2.752434e-01 2.155153e-02 2.155153e-02 1.000000 0.563909 0.250799
6.873644e-01 2.155153e-02 2.155153e-02 1.000000 0.424543 0.449783
2.778727e-01 2.155153e-02 2.155153e-02 1.000000 0.822395 0.780223
